"계절별"	"기간별"	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
"합계"	"금년"	524	265	315	729	785	599	271	544	516	405	418	389	570	282	277	197	296	492	623	391	692	496	653
"합계"	"10년평균"	-	-	-	-	-	-	-	-	-	495	485	497	523	478	427	387	389	384	395	394	421	432	440
"봄(3~5월)"	"금년"	310	171	197	503	625	391	201	276	331	251	191	196	377	118	180	122	212	322	377	223	418	174	392
"봄(3~5월)"	"10년평균"	-	-	-	-	-	-	-	-	-	326	314	316	334	296	251	224	225	230	235	232	254	253	254
"여름(6~8월)"	"금년"	7	1	5	17	28	29	3	42	7	1	18	4	17	21	9	38	13	24	100	43	89	106	34
"여름(6~8월)"	"10년평균"	-	-	-	-	-	-	-	-	-	14	15	15	17	17	15	16	17	15	24	29	36	46	48
"가을(9~11월)"	"금년"	79	14	14	30	56	33	22	43	35	55	21	83	59	49	11	20	23	39	82	15	58	25	30
"가을(9~11월)"	"10년평균"	-	-	-	-	-	-	-	-	-	38	32	39	44	45	41	40	40	40	44	40	44	38	35
"겨울(12,1~2월)"	"금년"	128	79	99	179	76	146	45	183	143	98	188	106	117	94	77	17	48	107	64	110	127	191	197
"겨울(12,1~2월)"	"10년평균"	-	-	-	-	-	-	-	-	-	118	124	126	128	120	120	107	107	100	92	93	87	95	103
